Cycle Nr.,Temp. [¡C],A1,Time [ms],A2,Time [ms],A3,Time [ms],A4,Time [ms],A5,Time [ms],A6,Time [ms],A7,Time [ms],A8,Time [ms],A9,Time [ms],A10,Time [ms],A11,Time [ms],A12,Time [ms],B1,Time [ms],B2,Time [ms],B3,Time [ms],B4,Time [ms],B5,Time [ms],B6,Time [ms],B7,Time [ms],B8,Time [ms],B9,Time [ms],B10,Time [ms],B11,Time [ms],B12,Time [ms],C1,Time [ms],C2,Time [ms],C3,Time [ms],C4,Time [ms],C5,Time [ms],C6,Time [ms],C7,Time [ms],C8,Time [ms],C9,Time [ms],C10,Time [ms],C11,Time [ms],C12,Time [ms],D1,Time [ms],D2,Time [ms],D3,Time [ms],D4,Time [ms],D5,Time [ms],D6,Time [ms],D7,Time [ms],D8,Time [ms],D9,Time [ms],D10,Time [ms],D11,Time [ms],D12,Time [ms],E1,Time [ms],E2,Time [ms],E3,Time [ms],E4,Time [ms],E5,Time [ms],E6,Time [ms],E7,Time [ms],E8,Time [ms],E9,Time [ms],E10,Time [ms],E11,Time [ms],E12,Time [ms],F1,Time [ms],F2,Time [ms],F3,Time [ms],F4,Time [ms],F5,Time [ms],F6,Time [ms],F7,Time [ms],F8,Time [ms],F9,Time [ms],F10,Time [ms],F11,Time [ms],F12,Time [ms],G1,Time [ms],G2,Time [ms],G3,Time [ms],G4,Time [ms],G5,Time [ms],G6,Time [ms],G7,Time [ms],G8,Time [ms],G9,Time [ms],G10,Time [ms],G11,Time [ms],G12,Time [ms],H1,Time [ms],H2,Time [ms],H3,Time [ms],H4,Time [ms],H5,Time [ms],H6,Time [ms],H7,Time [ms],H8,Time [ms],H9,Time [ms],H10,Time [ms],H11,Time [ms],H12,Time [ms]
26,37,0.0394,1500368,0.0395,1500568,0.0397,1500769,0.0399,1500970,0.0397,1501171,0.0393,1501372,0.0396,1501574,0.0395,1501775,0.0395,1501976,0.0396,1502176,0.0394,1502376,0.0394,1502576,0.0393,1505094,0.0452,1504893,0.7702,1504692,0.7584,1504491,0.7789,1504290,0.8077,1504089,0.8241,1503888,0.8342,1503687,0.854,1503486,0.8656,1503285,0.0394,1503084,0.0395,1502883,0.0392,1505403,0.0404,1505603,0.8977,1505803,0.9427,1506003,0.9578,1506203,0.0396,1506403,0.0395,1506603,0.0393,1506803,0.0409,1507003,0.8706,1507203,0.0394,1507403,0.0395,1507603,0.0395,1510106,0.0401,1509906,0.7812,1509706,0.7184,1509506,0.7535,1509306,0.7489,1509106,0.7565,1508906,0.7577,1508706,0.7577,1508506,0.7491,1508306,0.0394,1508106,0.0395,1507906,0.0393,1510410,0.0396,1510611,0.7472,1510811,0.7647,1511011,0.7626,1511211,0.1752,1511412,0.0393,1511612,0.0394,1511812,0.0392,1512013,0.0395,1512213,0.0394,1512413,0.0395,1512613,0.0393,1515122,0.0401,1514922,0.7418,1514722,0.765,1514522,0.7581,1514322,1.0012,1514122,0.985,1513922,0.9854,1513721,0.0399,1513520,0.0394,1513320,0.0407,1513120,0.0395,1512920,0.0395,1515430,0.0403,1515630,0.9708,1515830,0.9968,1516030,0.0344,1516231,1.6344,1516431,0.9047,1516632,0.0397,1516833,0.0392,1517034,0.0394,1517234,0.0395,1517435,0.0395,1517636,0.0394,1520146,0.0395,1519946,0.0391,1519746,0.0441,1519546,0.0386,1519346,0.0393,1519145,0.0382,1518944,0.0384,1518743,0.0391,1518542,0.0396,1518341,0.0394,1518140,0.0391,1517939
27,37,0.0394,1560391,0.0395,1560592,0.0397,1560793,0.0399,1560994,0.0397,1561195,0.0392,1561396,0.0396,1561597,0.0395,1561798,0.0395,1561999,0.0396,1562200,0.0395,1562401,0.0394,1562602,0.0394,1565117,0.0453,1564916,0.7659,1564715,0.7504,1564514,0.772,1564313,0.8001,1564112,0.8152,1563911,0.8305,1563710,0.8487,1563509,0.8609,1563308,0.0393,1563107,0.0395,1562906,0.0392,1565422,0.0404,1565623,0.8951,1565824,0.9404,1566025,0.9562,1566226,0.0396,1566427,0.0395,1566628,0.0394,1566829,0.0409,1567030,0.866,1567231,0.0394,1567432,0.0394,1567633,0.0395,1570149,0.0401,1569948,0.7734,1569747,0.7109,1569546,0.7516,1569345,0.7418,1569144,0.7508,1568943,0.7468,1568742,0.7512,1568541,0.742,1568340,0.0394,1568139,0.0395,1567938,0.0393,1570454,0.0395,1570655,0.7404,1570856,0.7532,1571057,0.7598,1571258,0.1741,1571459,0.0393,1571660,0.0394,1571861,0.0392,1572062,0.0395,1572263,0.0394,1572464,0.0394,1572665,0.0393,1575184,0.0401,1574983,0.7336,1574782,0.758,1574581,0.7505,1574380,1.0062,1574179,0.9859,1573978,0.9871,1573777,0.0399,1573576,0.0394,1573375,0.0407,1573174,0.0394,1572970,0.0395,1575488,0.0402,1575689,0.9709,1575890,0.9963,1576091,0.0344,1576292,1.6363,1576493,0.9044,1576694,0.0397,1576895,0.0392,1577096,0.0394,1577297,0.0395,1577498,0.0395,1577699,0.0394,1580215,0.0396,1580014,0.0391,1579812,0.0441,1579611,0.0387,1579410,0.0393,1579209,0.0382,1579008,0.0384,1578807,0.039,1578606,0.0396,1578405,0.0395,1578204,0.0391,1578003
28,37,0.0394,1620414,0.0395,1620614,0.0396,1620814,0.0399,1621014,0.0396,1621215,0.0392,1621416,0.0396,1621617,0.0395,1621818,0.0395,1622019,0.0396,1622220,0.0395,1622421,0.0393,1622621,0.0393,1625131,0.0452,1624931,0.7562,1624731,0.7472,1624531,0.7662,1624331,0.7956,1624130,0.8141,1623929,0.8238,1623728,0.8436,1623527,0.8571,1623326,0.0393,1623125,0.0395,1622924,0.0392,1625437,0.0404,1625638,0.8912,1625839,0.9412,1626044,0.9557,1626245,0.0396,1626446,0.0395,1626647,0.0393,1626848,0.041,1627049,0.8646,1627250,0.0393,1627451,0.0395,1627651,0.0394,1630162,0.0401,1629962,0.7655,1629762,0.7042,1629562,0.7397,1629362,0.7387,1629162,0.7452,1628962,0.7452,1628762,0.7443,1628561,0.7376,1628361,0.0393,1628160,0.0395,1627959,0.0393,1630465,0.0395,1630666,0.7338,1630867,0.7465,1631068,0.7538,1631269,0.1714,1631470,0.0393,1631671,0.0394,1631872,0.0392,1632072,0.0395,1632272,0.0393,1632472,0.0394,1632672,0.0393,1635201,0.0401,1635000,0.7286,1634800,0.7538,1634600,0.745,1634399,1.0054,1634198,0.9892,1633997,0.9879,1633796,0.0399,1633595,0.0394,1633394,0.0407,1633193,0.0395,1632992,0.0394,1635505,0.0402,1635706,0.9718,1635907,0.9978,1636108,0.0344,1636309,1.6346,1636510,0.9043,1636710,0.0397,1636910,0.0392,1637110,0.0394,1637310,0.0395,1637510,0.0395,1637710,0.0394,1640219,0.0395,1640019,0.0391,1639819,0.044,1639619,0.0386,1639419,0.0393,1639219,0.0381,1639019,0.0384,1638819,0.039,1638618,0.0396,1638418,0.0395,1638217,0.0391,1638016
29,37,0.0394,1680433,0.0395,1680634,0.0397,1680835,0.0399,1681036,0.0396,1681237,0.0393,1681438,0.0396,1681639,0.0395,1681840,0.0395,1682041,0.0396,1682242,0.0394,1682443,0.0393,1682644,0.0393,1685161,0.0452,1684960,0.7533,1684759,0.7419,1684558,0.7597,1684357,0.7885,1684156,0.8116,1683955,0.8229,1683754,0.8385,1683553,0.8526,1683352,0.0393,1683151,0.0395,1682950,0.0392,1685469,0.0404,1685670,0.8879,1685871,0.9372,1686072,0.9574,1686273,0.0396,1686474,0.0395,1686675,0.0393,1686876,0.0409,1687077,0.8633,1687278,0.0394,1687479,0.0394,1687681,0.0395,1690199,0.0401,1689998,0.7614,1689797,0.6974,1689596,0.7361,1689395,0.7314,1689194,0.7386,1688993,0.7324,1688792,0.7396,1688591,0.7293,1688390,0.0394,1688189,0.0395,1687988,0.0394,1690506,0.0395,1690707,0.728,1690908,0.7436,1691109,0.7474,1691310,0.1745,1691511,0.0394,1691712,0.0394,1691913,0.0392,1692114,0.0395,1692315,0.0394,1692516,0.0395,1692717,0.0393,1695232,0.0401,1695031,0.7222,1694830,0.7464,1694629,0.7403,1694428,1.0046,1694227,0.9861,1694026,0.9885,1693825,0.0399,1693624,0.0394,1693423,0.0408,1693222,0.0394,1693021,0.0394,1695538,0.0402,1695739,0.9719,1695940,0.998,1696141,0.0345,1696342,1.6353,1696543,0.9051,1696744,0.0397,1696945,0.0392,1697146,0.0394,1697347,0.0395,1697549,0.0395,1697750,0.0393,1700267,0.0396,1700066,0.0391,1699865,0.044,1699664,0.0387,1699463,0.0393,1699262,0.0382,1699061,0.0384,1698860,0.0391,1698659,0.0396,1698458,0.0394,1698257,0.0391,1698056
30,37,0.0394,1740450,0.0395,1740651,0.0397,1740851,0.0399,1741051,0.0397,1741251,0.0393,1741452,0.0397,1741653,0.0395,1741854,0.0395,1742054,0.0396,1742254,0.0395,1742454,0.0394,1742654,0.0393,1745164,0.0452,1744964,0.7449,1744764,0.7394,1744564,0.7583,1744364,0.7851,1744164,0.8088,1743964,0.8179,1743763,0.8351,1743562,0.8478,1743361,0.0393,1743160,0.0395,1742959,0.0392,1745468,0.0404,1745669,0.8848,1745870,0.9352,1746071,0.9606,1746272,0.0396,1746474,0.0395,1746675,0.0393,1746876,0.0409,1747077,0.8629,1747278,0.0394,1747479,0.0395,1747680,0.0394,1750193,0.0401,1749992,0.7545,1749791,0.6915,1749590,0.734,1749389,0.7252,1749188,0.7333,1748987,0.7296,1748786,0.7324,1748585,0.7234,1748385,0.0394,1748185,0.0395,1747984,0.0394,1750498,0.0395,1750699,0.7229,1750900,0.7387,1751101,0.7398,1751302,0.1736,1751503,0.0394,1751704,0.0395,1751905,0.0392,1752106,0.0395,1752307,0.0394,1752508,0.0394,1752709,0.0393,1755225,0.0401,1755024,0.7178,1754823,0.7421,1754622,0.735,1754421,1.0039,1754220,0.9851,1754019,0.9952,1753818,0.0399,1753617,0.0395,1753416,0.0407,1753215,0.0394,1753014,0.0395,1755530,0.0402,1755731,0.9707,1755932,0.9975,1756134,0.0345,1756335,1.6359,1756536,0.9048,1756737,0.0398,1756938,0.0393,1757139,0.0394,1757340,0.0395,1757541,0.0395,1757742,0.0394,1760257,0.0395,1760056,0.0391,1759855,0.0441,1759654,0.0387,1759453,0.0393,1759252,0.0382,1759051,0.0384,1758850,0.0391,1758649,0.0396,1758448,0.0395,1758247,0.0392,1758046
31,37,0.0394,1800464,0.0395,1800665,0.0397,1800866,0.04,1801067,0.0397,1801267,0.0392,1801468,0.0397,1801669,0.0395,1801870,0.0395,1802071,0.0396,1802272,0.0395,1802473,0.0394,1802674,0.0394,1805188,0.0453,1804986,0.7426,1804785,0.7395,1804584,0.7498,1804384,0.7793,1804183,0.8044,1803982,0.8136,1803781,0.8326,1803580,0.8435,1803380,0.0394,1803179,0.0395,1802978,0.0392,1805491,0.0404,1805691,0.8809,1805892,0.9353,1806093,0.9614,1806293,0.0397,1806494,0.0395,1806695,0.0394,1806895,0.0409,1807096,0.8618,1807297,0.0394,1807498,0.0395,1807699,0.0395,1810218,0.0402,1810017,0.751,1809816,0.6849,1809615,0.7245,1809414,0.7175,1809213,0.7261,1809012,0.7252,1808811,0.7256,1808610,0.7169,1808409,0.0394,1808208,0.0395,1808007,0.0394,1810520,0.0395,1810720,0.7161,1810922,0.7306,1811124,0.7318,1811324,0.1726,1811525,0.0394,1811726,0.0395,1811926,0.0392,1812127,0.0396,1812328,0.0394,1812529,0.0395,1812730,0.0393,1815246,0.0401,1815046,0.7118,1814844,0.7403,1814643,0.7308,1814443,1.0039,1814242,0.9858,1814041,0.9956,1813841,0.0399,1813640,0.0395,1813439,0.0408,1813238,0.0394,1813037,0.0395,1815551,0.0403,1815751,0.9716,1815952,0.9982,1816153,0.0345,1816353,1.6348,1816554,0.9045,1816755,0.0397,1816955,0.0393,1817156,0.0395,1817357,0.0395,1817558,0.0395,1817759,0.0394,1820272,0.0396,1820072,0.0392,1819871,0.0441,1819670,0.0387,1819470,0.0393,1819269,0.0382,1819068,0.0384,1818867,0.0391,1818666,0.0396,1818466,0.0395,1818265,0.0392,1818064
32,37,0.0394,1860478,0.0395,1860678,0.0396,1860878,0.0399,1861078,0.0397,1861278,0.0392,1861478,0.0396,1861678,0.0395,1861878,0.0394,1862078,0.0396,1862278,0.0395,1862478,0.0393,1862678,0.0393,1865188,0.0453,1864988,0.7295,1864788,0.7329,1864588,0.7489,1864388,0.7797,1864188,0.8005,1863988,0.8097,1863788,0.8281,1863587,0.8394,1863387,0.0394,1863187,0.0395,1862987,0.0392,1865493,0.0404,1865693,0.8781,1865893,0.9355,1866093,0.9591,1866293,0.0396,1866493,0.0394,1866693,0.0393,1866893,0.0409,1867093,0.8618,1867293,0.0394,1867494,0.0394,1867694,0.0394,1870199,0.0401,1869999,0.7412,1869799,0.6808,1869599,0.7186,1869399,0.7176,1869199,0.7228,1868999,0.717,1868799,0.7204,1868599,0.715,1868399,0.0393,1868199,0.0394,1867999,0.0394,1870508,0.0395,1870708,0.7115,1870908,0.7247,1871108,0.7254,1871308,0.1722,1871508,0.0393,1871708,0.0394,1871908,0.0392,1872108,0.0395,1872308,0.0394,1872508,0.0395,1872708,0.0393,1875214,0.0401,1875014,0.7067,1874814,0.7363,1874614,0.7214,1874414,1.0024,1874214,0.9855,1874014,0.9941,1873814,0.0399,1873613,0.0394,1873413,0.0407,1873213,0.0394,1873012,0.0394,1875519,0.0402,1875719,0.9724,1875919,0.998,1876119,0.0344,1876319,1.6348,1876519,0.9045,1876719,0.0397,1876919,0.0392,1877119,0.0394,1877319,0.0395,1877519,0.0395,1877719,0.0394,1880223,0.0395,1880023,0.0391,1879823,0.044,1879623,0.0387,1879423,0.0392,1879222,0.0382,1879022,0.0384,1878822,0.0391,1878622,0.0396,1878422,0.0394,1878222,0.0391,1878022
33,37,0.0394,1920485,0.0395,1920686,0.0396,1920887,0.0399,1921088,0.0397,1921289,0.0392,1921490,0.0396,1921691,0.0395,1921892,0.0395,1922093,0.0396,1922294,0.0395,1922495,0.0394,1922697,0.0393,1925213,0.0452,1925012,0.7237,1924811,0.7282,1924610,0.7377,1924409,0.7694,1924208,0.7963,1924007,0.8056,1923806,0.8211,1923605,0.8332,1923404,0.0393,1923203,0.0395,1923002,0.0392,1925519,0.0404,1925720,0.8742,1925921,0.935,1926122,0.9618,1926323,0.0396,1926524,0.0395,1926725,0.0394,1926926,0.0409,1927127,0.8605,1927328,0.0394,1927529,0.0395,1927730,0.0395,1930245,0.0401,1930044,0.7366,1929843,0.6742,1929642,0.7128,1929441,0.708,1929240,0.7158,1929039,0.7195,1928838,0.7141,1928637,0.71,1928436,0.0394,1928235,0.0395,1928034,0.0394,1930551,0.0395,1930752,0.7055,1930956,0.7176,1931156,0.7228,1931357,0.1737,1931558,0.0393,1931759,0.0395,1931960,0.0392,1932161,0.0395,1932362,0.0394,1932564,0.0395,1932765,0.0393,1935280,0.0401,1935079,0.7006,1934878,0.7391,1934677,0.7194,1934476,1.0014,1934275,0.9826,1934074,0.9934,1933873,0.0399,1933672,0.0394,1933471,0.0407,1933270,0.0394,1933069,0.0394,1935585,0.0402,1935786,0.9717,1935987,0.9974,1936188,0.0344,1936389,1.637,1936590,0.9053,1936791,0.0397,1936992,0.0393,1937193,0.0394,1937394,0.0395,1937595,0.0395,1937796,0.0394,1940311,0.0395,1940110,0.0391,1939909,0.044,1939708,0.0387,1939507,0.0393,1939306,0.0382,1939105,0.0384,1938904,0.039,1938703,0.0396,1938502,0.0395,1938301,0.0392,1938100
34,37,0.0394,1980501,0.0395,1980701,0.0396,1980901,0.0399,1981101,0.0397,1981302,0.0392,1981502,0.0396,1981702,0.0395,1981903,0.0395,1982104,0.0396,1982305,0.0394,1982506,0.0393,1982707,0.0393,1985224,0.0452,1985021,0.7212,1984821,0.7231,1984620,0.7345,1984419,0.7668,1984218,0.7904,1984017,0.8008,1983816,0.8186,1983615,0.836,1983414,0.0393,1983213,0.0395,1983012,0.0392,1985528,0.0404,1985729,0.8721,1985930,0.9336,1986131,0.9578,1986331,0.0396,1986531,0.0395,1986731,0.0393,1986931,0.0409,1987131,0.8604,1987331,0.0394,1987532,0.0395,1987733,0.0394,1990249,0.0401,1990048,0.7261,1989847,0.6993,1989646,0.7075,1989445,0.7019,1989244,0.7094,1989043,0.7107,1988842,0.7086,1988641,0.7034,1988440,0.0393,1988239,0.0395,1988038,0.0393,1990553,0.0395,1990754,0.7009,1990955,0.7111,1991156,0.719,1991358,0.1735,1991559,0.0393,1991760,0.0394,1991961,0.0392,1992162,0.0395,1992363,0.0394,1992564,0.0394,1992765,0.0393,1995284,0.0401,1995083,0.6938,1994882,0.7294,1994681,0.7088,1994480,1.0015,1994279,0.9853,1994078,0.9931,1993877,0.0399,1993676,0.0394,1993475,0.0407,1993274,0.0394,1993073,0.0395,1995592,0.0402,1995793,0.9716,1995994,0.9978,1996195,0.0344,1996396,1.6361,1996597,0.9052,1996798,0.0397,1996999,0.0392,1997200,0.0394,1997401,0.0395,1997602,0.0395,1997803,0.0393,2000318,0.0395,2000117,0.0391,1999916,0.044,1999715,0.0386,1999514,0.0392,1999313,0.0382,1999112,0.0384,1998911,0.039,1998710,0.0396,1998509,0.0394,1998308,0.0391,1998107
35,37,0.0394,2040526,0.0395,2040727,0.0396,2040928,0.0399,2041129,0.0397,2041330,0.0392,2041531,0.0396,2041732,0.0395,2041933,0.0395,2042134,0.0396,2042335,0.0395,2042536,0.0393,2042737,0.0393,2045253,0.0452,2045052,0.7166,2044851,0.7175,2044650,0.7305,2044449,0.7609,2044248,0.7859,2044047,0.7966,2043846,0.8202,2043645,0.8312,2043444,0.0393,2043243,0.0395,2043042,0.0392,2045557,0.0404,2045758,0.869,2045961,0.932,2046162,0.9587,2046363,0.0396,2046564,0.0395,2046765,0.0394,2046966,0.0409,2047167,0.8596,2047368,0.0394,2047569,0.0395,2047770,0.0395,2050290,0.0401,2050089,0.7208,2049887,0.6652,2049687,0.703,2049485,0.6983,2049284,0.7048,2049083,0.702,2048882,0.702,2048681,0.6988,2048480,0.0394,2048279,0.0395,2048078,0.0394,2050596,0.0395,2050797,0.6963,2050998,0.7061,2051199,0.7129,2051400,0.1736,2051601,0.0393,2051802,0.0394,2052003,0.0392,2052204,0.0395,2052405,0.0394,2052606,0.0395,2052807,0.0393,2055323,0.0401,2055122,0.6915,2054921,0.731,2054720,0.7101,2054519,1.0022,2054318,0.9857,2054117,0.9936,2053916,0.0399,2053715,0.0394,2053514,0.0407,2053313,0.0394,2053112,0.0394,2055627,0.0402,2055828,0.9722,2056029,0.9976,2056230,0.0344,2056431,1.6378,2056632,0.9049,2056833,0.0397,2057034,0.0393,2057235,0.0395,2057436,0.0395,2057637,0.0395,2057838,0.0394,2060354,0.0396,2060153,0.0391,2059952,0.0441,2059750,0.0387,2059550,0.0393,2059348,0.0382,2059147,0.0384,2058946,0.039,2058745,0.0396,2058544,0.0394,2058343,0.0391,2058142
36,37,0.0394,2100535,0.0395,2100736,0.0397,2100937,0.0399,2101138,0.0397,2101339,0.0393,2101540,0.0396,2101741,0.0396,2101942,0.0395,2102143,0.0396,2102344,0.0395,2102545,0.0394,2102746,0.0393,2105260,0.0452,2105059,0.7127,2104859,0.7134,2104658,0.7266,2104458,0.7573,2104258,0.7823,2104058,0.7922,2103858,0.8149,2103657,0.8278,2103456,0.0393,2103255,0.0395,2103051,0.0392,2105564,0.0404,2105765,0.8658,2105966,0.9296,2106167,0.9581,2106368,0.0396,2106568,0.0395,2106768,0.0394,2106969,0.0409,2107170,0.8613,2107371,0.0394,2107572,0.0395,2107773,0.0395,2110281,0.0402,2110081,0.7141,2109881,0.66,2109681,0.6984,2109481,0.702,2109281,0.7054,2109081,0.7022,2108881,0.6951,2108680,0.6939,2108480,0.0394,2108280,0.0395,2108079,0.0394,2110585,0.0395,2110785,0.6918,2110985,0.7005,2111185,0.7068,2111385,0.1724,2111585,0.0394,2111785,0.0395,2111985,0.0392,2112185,0.0395,2112385,0.0394,2112585,0.0395,2112785,0.0393,2115290,0.0401,2115090,0.6854,2114890,0.7147,2114690,0.7097,2114490,1.0007,2114290,0.9861,2114090,0.9922,2113890,0.0399,2113690,0.0395,2113490,0.0407,2113290,0.0395,2113089,0.0395,2115595,0.0402,2115795,0.9718,2115995,0.9983,2116195,0.0345,2116395,1.6353,2116595,0.9048,2116795,0.0397,2116995,0.0393,2117195,0.0395,2117395,0.0395,2117595,0.0395,2117795,0.0395,2120309,0.0395,2120109,0.0392,2119909,0.0441,2119708,0.0387,2119507,0.0394,2119306,0.0382,2119105,0.0385,2118904,0.0391,2118703,0.0396,2118501,0.0394,2118300,0.0391,2118100
37,37,0.0394,2160551,0.0395,2160752,0.0397,2160953,0.0399,2161154,0.0397,2161355,0.0393,2161556,0.0396,2161757,0.0396,2161958,0.0395,2162159,0.0396,2162360,0.0395,2162561,0.0394,2162762,0.0393,2165279,0.0453,2165078,0.7084,2164877,0.7094,2164676,0.7224,2164475,0.7551,2164274,0.7779,2164073,0.7877,2163872,0.8122,2163671,0.8245,2163470,0.0394,2163269,0.0396,2163068,0.0392,2165595,0.0404,2165796,0.8635,2165997,0.9294,2166198,0.9573,2166399,0.0397,2166600,0.0395,2166801,0.0394,2167002,0.0409,2167203,0.8599,2167404,0.0394,2167606,0.0395,2167807,0.0395,2170323,0.0401,2170122,0.714,2169921,0.6547,2169720,0.6934,2169519,0.696,2169318,0.6944,2169117,0.691,2168916,0.6893,2168715,0.6886,2168514,0.0394,2168313,0.0395,2168112,0.0394,2170627,0.0395,2170828,0.6857,2171029,0.6957,2171230,0.7026,2171431,0.1714,2171632,0.0393,2171833,0.0395,2172034,0.0392,2172235,0.0395,2172436,0.0394,2172637,0.0394,2172838,0.0393,2175354,0.0401,2175153,0.682,2174952,0.7181,2174751,0.6993,2174550,1.0012,2174349,0.9839,2174148,0.992,2173947,0.0399,2173746,0.0394,2173545,0.0407,2173344,0.0395,2173143,0.0394,2175658,0.0402,2175859,0.9717,2176060,0.9979,2176261,0.0344,2176462,1.6367,2176663,0.9048,2176864,0.0397,2177065,0.0393,2177266,0.0395,2177468,0.0395,2177669,0.0395,2177870,0.0394,2180388,0.0396,2180187,0.0392,2179986,0.044,2179785,0.0387,2179584,0.0393,2179383,0.0382,2179182,0.0384,2178981,0.0391,2178780,0.0396,2178579,0.0395,2178378,0.0391,2178177
38,37,0.0394,2220574,0.0395,2220775,0.0397,2220976,0.04,2221177,0.0397,2221378,0.0392,2221579,0.0396,2221780,0.0395,2221981,0.0395,2222182,0.0397,2222383,0.0395,2222584,0.0394,2222785,0.0393,2225299,0.0453,2225098,0.7044,2224897,0.7053,2224696,0.7206,2224495,0.7522,2224294,0.7751,2224093,0.7833,2223892,0.8089,2223691,0.8205,2223490,0.0394,2223289,0.0395,2223088,0.0392,2225605,0.0404,2225806,0.8709,2226007,0.927,2226208,0.9537,2226410,0.0396,2226611,0.0395,2226812,0.0393,2227013,0.0409,2227214,0.8571,2227415,0.0394,2227616,0.0395,2227817,0.0395,2230332,0.0401,2230131,0.7095,2229930,0.6505,2229729,0.6882,2229528,0.6918,2229327,0.6907,2229126,0.6875,2228925,0.692,2228724,0.6841,2228523,0.0394,2228322,0.0395,2228121,0.0394,2230637,0.0395,2230838,0.6819,2231039,0.6919,2231240,0.7042,2231441,0.1728,2231642,0.0393,2231843,0.0395,2232044,0.0392,2232245,0.0395,2232446,0.0394,2232647,0.0395,2232848,0.0393,2235363,0.0401,2235162,0.6761,2234961,0.7111,2234760,0.6967,2234559,0.9987,2234358,0.9866,2234157,0.9915,2233956,0.04,2233755,0.0394,2233554,0.0408,2233353,0.0395,2233152,0.0395,2235668,0.0402,2235869,0.9719,2236070,0.9981,2236272,0.0345,2236473,1.641,2236674,0.906,2236875,0.0397,2237076,0.0393,2237277,0.0394,2237478,0.0396,2237679,0.0395,2237880,0.0394,2240397,0.0395,2240196,0.0391,2239995,0.0441,2239794,0.0387,2239593,0.0393,2239392,0.0382,2239190,0.0385,2238989,0.0391,2238788,0.0396,2238587,0.0395,2238386,0.0391,2238185
39,37,0.0394,2280597,0.0395,2280797,0.0397,2280998,0.0399,2281199,0.0397,2281399,0.0393,2281600,0.0397,2281801,0.0395,2282001,0.0395,2282202,0.0396,2282403,0.0395,2282604,0.0393,2282805,0.0394,2285320,0.0453,2285120,0.7006,2284918,0.6989,2284717,0.7153,2284517,0.7468,2284316,0.7689,2284115,0.7808,2283914,0.8046,2283713,0.8159,2283513,0.0393,2283312,0.0395,2283111,0.0393,2285625,0.0404,2285825,0.8742,2286026,0.9259,2286227,0.9507,2286427,0.0396,2286628,0.0395,2286829,0.0394,2287029,0.0409,2287230,0.8553,2287431,0.0394,2287632,0.0395,2287833,0.0395,2290349,0.0402,2290149,0.7037,2289948,0.6458,2289747,0.6837,2289547,0.6876,2289346,0.6859,2289145,0.6813,2288945,0.6819,2288744,0.6799,2288544,0.0394,2288343,0.0395,2288142,0.0394,2290653,0.0396,2290853,0.6771,2291054,0.6864,2291255,0.6949,2291456,0.1721,2291657,0.0394,2291858,0.0394,2292058,0.0392,2292259,0.0395,2292459,0.0394,2292660,0.0395,2292861,0.0394,2295373,0.0401,2295172,0.6708,2294971,0.7075,2294770,0.6901,2294569,0.9982,2294368,0.9866,2294167,0.9924,2293967,0.0399,2293766,0.0394,2293566,0.0408,2293365,0.0395,2293164,0.0395,2295684,0.0403,2295884,0.9717,2296085,0.9975,2296286,0.0345,2296486,1.6365,2296687,0.9055,2296887,0.0398,2297087,0.0393,2297287,0.0395,2297488,0.0395,2297689,0.0395,2297890,0.0394,2300396,0.0396,2300196,0.0392,2299996,0.0441,2299796,0.0387,2299596,0.0393,2299395,0.0382,2299194,0.0385,2298994,0.0391,2298793,0.0396,2298593,0.0394,2298393,0.0391,2298193
40,37,0.0394,2340616,0.0395,2340816,0.0397,2341016,0.04,2341216,0.0397,2341416,0.0392,2341616,0.0396,2341816,0.0395,2342016,0.0395,2342216,0.0397,2342416,0.0394,2342616,0.0394,2342816,0.0393,2345321,0.0452,2345121,0.6968,2344921,0.6938,2344721,0.7112,2344521,0.7431,2344321,0.7644,2344121,0.7759,2343921,0.8018,2343720,0.8114,2343520,0.0393,2343320,0.0395,2343120,0.0392,2345626,0.0405,2345826,0.87,2346026,0.9253,2346226,0.947,2346426,0.0396,2346626,0.0395,2346826,0.0393,2347026,0.0409,2347226,0.8607,2347426,0.0394,2347626,0.0395,2347826,0.0395,2350330,0.0401,2350130,0.6979,2349930,0.6424,2349730,0.6807,2349530,0.684,2349330,0.6819,2349130,0.6913,2348930,0.6778,2348730,0.6761,2348530,0.0394,2348330,0.0395,2348130,0.0394,2350635,0.0396,2350835,0.673,2351035,0.6821,2351235,0.6912,2351435,0.1717,2351635,0.0393,2351835,0.0394,2352035,0.0392,2352235,0.0395,2352435,0.0394,2352635,0.0395,2352835,0.0393,2355341,0.0401,2355141,0.6655,2354941,0.6915,2354741,0.6894,2354541,0.9966,2354341,0.9926,2354141,0.9897,2353941,0.04,2353741,0.0394,2353540,0.0408,2353340,0.0395,2353140,0.0395,2355646,0.0402,2355846,0.9728,2356046,0.9987,2356246,0.0345,2356446,1.6362,2356646,0.906,2356846,0.0397,2357046,0.0393,2357246,0.0395,2357446,0.0396,2357646,0.0395,2357846,0.0394,2360351,0.0396,2360151,0.0392,2359951,0.0441,2359751,0.0387,2359551,0.0393,2359351,0.0382,2359151,0.0385,2358951,0.0391,2358751,0.0396,2358551,0.0395,2358351,0.0391,2358150
